"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"7942","SILVERIETF","ICICI Prudential Silver ETF","EQ","1.0000","1","ETF","E","NSE","108.8800","72.5900","","","1090440"
"7979","MAKEINDIA","MIRAEAMC - MAMFGETF","EQ","1.0000","1","ETF","E","NSE","189.6600","126.4400","","","460913"
"8003","SILVER","BIRLASLAMC - SILVER","EQ","1.0000","1","ETF","E","NSE","108.9400","72.6300","","","1090127"
"8077","MIDCAP","KOTAKMAMC - KOTAKMID50","EQ","1.0000","1","ETF","E","NSE","205.5600","137.0400","","","74108"
"8080","SILVERBEES","NIPPONAMC - NETFSILVER","EQ","1.0000","1","ETF","E","NSE","104.9500","69.9600","","","1131309"
"543471","SILVER","Aditya Birla Sun Life Mutual F","E","1.0000","1","ETF","E","BSE","108.9400","72.6300","","","-1"
"8342","GSEC5IETF","ICICIPRAMC - ICICI5GSEC","EQ","1.0000","1","ETF","E","NSE","69.7500","46.5000","","","448278"
"8413","MIDCAPETF","Mirae Nifty Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","27.0900","18.0600","","","4416797"
"8632","LOWVOL1","KOTAKMAMC - KOTAKLOVOL","EQ","1.0000","1","ETF","E","NSE","26.5200","17.6800","","","2354682"
"8882","TNIDETF","TATAAML - TNIDETF","EQ","1.0000","1","ETF","E","NSE","116.9800","77.9900","","","449485"
"10512","CONS","KOTAKMAMC - KOTAKCONS","EQ","1.0000","1","ETF","E","NSE","156.0900","104.0600","","","6221"
"10508","MOHEALTH","MOTILALAMC - MOHEALTH","EQ","1.0000","1","ETF","E","NSE","53.5400","35.6900","","","148473"
"10585","MOM30IETF","ICICIPRAMC - ICICIMOM30","EQ","1.0000","1","ETF","E","NSE","45.9200","30.6100","","","2620478"
"8654","MOLOWVOL","MOTILALAMC - MOLOWVOL","EQ","1.0000","1","ETF","E","NSE","48.6900","32.4600","","","687162"
